Time_min,PAR_umolPPFDm-2s-1,Tair_C
1336,0,24.9
1337,0,24.8
1338,0,24.8
1339,0,24.8
1340,0,24.8
1341,0,24.8
1342,0,24.8
1343,0,24.8
1344,0,24.8
1345,0,24.7
1346,0,24.7
1347,0,24.7
1348,0,24.7
1349,0,24.7
1350,0,24.7
1351,0,24.7
1352,0,24.7
1353,0,24.7
1354,0,24.7
1355,0,24.7
1356,0,24.7
1357,0,24.7
1358,0,24.7
1359,0,24.7
1360,0,24.7
1361,0,24.7
1362,0,24.7
1363,0,24.7
1364,0,24.7
1365,0,24.7
1366,0,24.6
1367,0,24.6
1368,0,24.6
1369,0,24.6
1370,0,24.5
1371,0,24.5
1372,0,24.5
1373,0,24.5
1374,0,24.5
1375,0,24.5
1376,0,24.4
1377,0,24.4
1378,0,24.4
1379,0,24.4
1380,0,24.4
1381,0,24.4
1382,0,24.4
1383,0,24.4
1384,0,24.4
1385,0,24.4
1386,0,24.5
1387,0,24.5
1388,0,24.5
1389,0,24.5
1390,0,24.5
1391,0,24.6
1392,0,24.6
1393,0,24.6
1394,0,24.6
1395,0,24.6
1396,0,24.6
1397,0,24.6
1398,0,24.6
1399,0,24.6
1400,0,24.6
1401,0,24.6
1402,0,24.6
1403,0,24.6
1404,0,24.6
1405,0,24.6
1406,0,24.5
1407,0,24.5
1408,0,24.5
1409,0,24.6
1410,0,24.6
1411,0,24.6
1412,0,24.6
1413,0,24.6
1414,0,24.6
1415,0,24.6
1416,0,24.6
1417,0,24.6
1418,0,24.6
1419,0,24.6
1420,0,24.6
1421,0,24.6
1422,0,24.6
1423,0,24.6
1424,0,24.6
1425,0,24.6
1426,0,24.6
1427,0,24.7
1428,0,24.7
1429,0,24.7
1430,0,24.7
1431,0,24.8
1432,0,24.8
1433,0,24.8
1434,0,24.8
1435,0,24.8
1436,0,24.8
1437,0,24.8
1438,0,24.8
1439,0,24.8
1440,0,24.8
